"","Fund_Name","Fund_Manager","Fund_Contact","Fund_Contact_Telephone","Fund_Type","Fund_Projected_Equity","Fund_Equity_Raised","Fund_Equity_Invested","Fund_Target_IRR","Fund_Minimum_IRR","Fund_Asset_Classes","Fund_Target_Locations","Fund_Data_Date"
"430","Rossrock Fund 2","Rossrock","James Ross","212-888-2720","High Yield Debt","$120,000,000 ","$120,000,000 ","$80,000,000 ","10","10","Distressed, Mortgages","Eastern United States, Washington D.C., Philadelphia, New York City, Boston","1/11/12"
"431","Pcg Net Lease Income Fund","PCG Equity","Roy Epstein","212-750-0149","Core","$500,000,000 ","","","10","10","Office, Retail, Industrial","United States","1/11/12"
"432","U.S. Government Properties Income & Growth Fund","PRP Real Estate Investors","Bill Trimble","202-741-8400","Core","$400,000,000 ","$45,000,000 ","$24,300,000 ","11","11","Office","United States","1/11/12"
"433","Mfire Domestic Partnership Fund 1","Mesirow Financial","Joshua Daitch","312-595-6062","Fund of Funds","$70,400,000 ","$70,400,000 ","$12,500,000 ","11","11","Office, Multifamily, Lodging, Self Storage, Land, Distressed, Mortgages, Mezzanine Loans, Preferred Equity","United States","1/11/12"
"434","Buchanan Fund 5","Buchanan Street Partners","Tim Ballard","949-219-1584","Core","$414,000,000 ","$414,000,000 ","$270,000,000 ","12","12","Office, Multifamily","United States","1/11/12"
"435","Crow Holdings Realty Partners 6","Crow Holdings","Bob Mcclain","214-661-8136","Core","$950,000,000 ","$950,000,000 ","$266,000,000 ","12","12","Office","United States","1/11/12"
"436","Mfire International Partnership Fund 1","Mesirow Financial","Joshua Daitch","312-595-6062","Fund of Funds","$226,200,000 ","$226,200,000 ","$155,000,000 ","12","12","Office","United States","1/11/12"
"437","Trade Street Capital Property Fund 1","Trade Street Capital","Ryan Hanks","704-998-8646","Core","$110,000,000 ","$110,000,000 ","$62,000,000 ","12","12","Office, Multifamily, Retail, Lodging","Europe, Asia, Latin America, South America","1/11/12"
"438","Westriver Real Estate Finance Fund","WestRiver Capital","Alex Zabik","212-247-7090","High Yield Debt","$190,000,000 ","$190,000,000 ","$48,000,000 ","12","12","Mortgages","Southwestern United States","1/11/12"
"439","Tcw/buchanan Fund 6","Buchanan Street Partners","Tim Ballard","949-219-1584","Core","$600,000,000 ","$75,000,000 ","$25,000,000 ","12","12","Office","United States","1/11/12"
"440","Washington Capital Fund","Potomac Capital","Jim Powers","301-961-9096","Core","$50,000,000 ","$25,000,000 ","$12,500,000 ","12","12","Office","United States","1/11/12"
"441","Invesco Real Estate Debt Fund 3","Invesco Real Estate","Scott Dennis","972-715-7400","High Yield Debt","$300,000,000 ","","","12","12","Mortgages","Washington D.C.","1/11/12"
"442","Trecap Fund 4 - Apartment Partners","Trecap Partners","Michael Mcnamara","917-301-8063","Core","$300,000,000 ","","","12","12","Multifamily","United States","1/11/12"
"443","Mfire Global Real Estate Investment Program 2","Mesirow Financial","Joshua Daitch","312-595-6062","Fund of Funds","$500,000,000 ","","","12","12","Office","United States","1/11/12"
"444","Senior Housing Partners 4","Prudential Real Estate Investors","Gary Kaufmann","973-734-1300","Core","$600,000,000 ","","","12","12","Senior Housing","United States, Asia, United States, International","1/11/12"
"445","Morrison Street Fund 4","NBS Real Estate Capital","Rance Gregory","503-952-0700","High Yield Debt","$75,000,000 ","$25,000,000 ","","12","12","Mezzanine Loans, Preferred Equity, Distressed","United States, Canada, Mexico","1/11/12"
"446","Ag Core Plus Realty Fund 3","Angelo Gordon & Co.","Adam Schwartz","212-692-2059","Core","$1,000,000,000 ","$200,000,000 ","","12","12","Office, Multifamily, Retail, Lodging, Self Storage","Western United States, Los Angeles, San Francisco, Seattle, San Diego","1/11/12"
"447","Colony Distressed Credit Fund 2","Colony Capital","Kevin Traenkle","310-282-8820","High Yield Debt","$750,000,000 ","","","12.5","12.5","Distressed, Mortgages","United States, Asia, Europe","1/11/12"
"448","Shorenstein Realty Investors 9","Shorenstein Properties","Robert Underhill","212-843-7250","Value Add","$2,062,000,000 ","$2,062,000,000 ","$1,200,000,000 ","13","13","Office","United States, Europe","1/11/12"
"449","Rockspring U.K. Value Fund","Rockspring Property","Neal Shegog","44-207-761-3300","Value Add","$546,571,200 ","$546,571,200 ","$273,285,600 ","13","13","Office","United States","1/11/12"
"450","Rcg Longview Debt Fund 4","Ramius Capital","David Valger","212-356-9250","High Yield Debt","$602,000,000 ","$602,000,000 ","$250,000,000 ","13","13","Mortgages","England","1/11/12"
"451","Area Domestic Emerging Markets Fund","AREA Property","Jim Simmons","212-515-3337","Value Add","$485,000,000 ","$485,000,000 ","$247,000,000 ","13","13","Multifamily","United States","1/11/12"
"452","Brookfield Real Estate Opportunity Fund 2","Brookfield Asset Management","Steven Ganeless","212-417-7269","Value Add","$262,000,000 ","$262,000,000 ","$185,000,000 ","13","13","Office, Other","United States","1/11/12"
"453","Ece European Retail Property Fund 1","ECE Real Estate","Volker Kraft, Ruediger Cornehl","49-40-60606-9100","Value Add","$688,850,000 ","$550,875,593 ","$163,525,223 ","13","13","Retail","United States, Canada","1/11/12"
"454","Catalyst European Property Fund","Catalyst Capital","Guy Wilson","44-207-290-5100","Value Add","$314,804,450 ","$314,804,450 ","$28,799,145 ","13","13","Office","Europe","1/11/12"
"455","Bell Fund 4","Bell Partners","Jon Bell","336-232-1999","Value Add","$200,000,000 ","","","13","13","Multifamily","Europe","1/11/12"
"456","Brookfield Real Estate Finance Fund 3","Brookfield Asset Management","Andrea Balkan","212-417-7277","High Yield Debt","$500,000,000 ","","","13","13","Mezzanine Loans","Eastern United States, Washington D.C., Southeastern United States","1/11/12"
"457","Shorenstein Realty Investors Fund 10","Shorenstein Properties","Charlie Malet","415-772-7059","Value Add","$1,100,000,000 ","$1,100,000,000 ","","13","13","Office","United States","1/11/12"
"458","Strategic Development Partners","Hart Realty Advisors, Investment Strategies Group","Bill Holmes","860-651-4000","Value Add","$200,000,000 ","","","13.5","13.5","Office, Multifamily","United States","1/11/12"
"459","Tishman Speyer European Real Estate Venture 6","Tishman Speyer","Eric Adler","44-207-333-2400","Value Add","$1,859,895,000 ","$1,859,895,000 ","$1,116,139,382 ","14","14","Office","United States","1/11/12"
"460","Praedium Fund 7","Praedium Group","Chris Hughes","212-224-5600","Value Add","$900,000,000 ","$900,000,000 ","$600,000,000 ","14","14","Office","Europe","1/11/12"
"461","Blackstone Real Estate Special Situations 2","Blackstone Group","Michael Nash","212-583-5127","High Yield Debt","$2,700,000,000 ","$2,700,000,000 ","$540,000,000 ","14","14","Office","United States","1/11/12"
"462","Urdang Value Add Fund 2","Urdang Capital","David Rabin","949-680-3402","Value Add","$463,000,000 ","$463,000,000 ","$323,000,000 ","14","14","Office","United States","1/11/12"
"463","Area Value Enhancement Fund 7","AREA Property","Steve Wolf","212-515-3344","Value Add","$759,000,000 ","$759,000,000 ","$310,000,000 ","14","14","Office, Multifamily, Retail, Lodging, Self Storage, Land, Industrial","Eastern United States, Washington D.C., Philadelphia, New York City, Boston, Northeastern United States, Western United States","1/11/12"
"464","Normandy Real Estate Fund 2","Normandy Real Estate","David Welsh, Jeff Gronning","973-898-1160","Value Add","$300,000,000 ","$300,000,000 ","$200,000,000 ","14","14","Office","United States","1/11/12"
"465","Cornerstone Apartment Venture 3","Cornerstone Real Estate","Deborah Schwartz","860-509-2200","Value Add","$360,000,000 ","$360,000,000 ","$200,000,000 ","14","14","Multifamily","Eastern United States, Northeastern United States","1/11/12"
"466","Invesco Real Estate Fund 2","Invesco Real Estate","Scott Dennis","972-715-7400","Value Add","$457,000,000 ","$457,000,000 ","$185,000,000 ","14","14","Office","United States","1/11/12"
"467","Urban American Fund 2","Urban American Management","Philip Eisenberg","201-553-9800","Value Add","$170,500,000 ","$170,500,000 ","$121,000,000 ","14","14","Multifamily","United States","1/11/12"
"468","Abr Chesapeake Fund 4","Alex Brown Realty","Thomas Burton","410-547-3009","Value Add","$250,000,000 ","$75,000,000 ","$13,000,000 ","14","14","Office","New York City","1/11/12"
"469","Sares-regis Western States Multifamily Fund","Penn Square Real Estate","Jon Albro","610-745-4861","Value Add","$200,000,000 ","","","14","14","Distressed","United States","1/11/12"
"470","Bpg Investment Partnership 9","BPG Properties","Arthur Pasquarella","215-575-2432","Value Add","$250,000,000 ","","","14","14","Office","United States","1/11/12"
"471","Lm Real Estate Capital Fund 3","Latitude Management","Glenn Sonnenberg","310-234-2101","High Yield Debt","$300,000,000 ","","","14","14","Mortgages","United States","1/11/12"
"472","Menlo Realty Partners 4","Menlo Equities","Henry Bullock","650-326-9300","Value Add","$150,000,000 ","$50,000,000 ","","14","14","Office","United States, Canada","1/11/12"
"473","Portfolio Advisors Real Estate Fund 4","Portfolio Advisors","Kenneth Wisdom","203-662-3467","Fund of Funds","$309,900,000 ","$309,900,000 ","","14","14","Office","California","1/11/12"
"474","Dlj Real Estate Capital Partners 4","DLJ Real Estate Capital","William Helm","212-538-4652","Value Add","$1,100,000,000 ","$1,100,000,000 ","$700,000,000 ","15","15","Office, Multifamily","United States, International","1/11/12"
"475","Lasalle Income & Growth Fund 5","LaSalle Investment","Jim Hutchinson","312-228-2396","Value Add","$729,000,000 ","$729,000,000 ","$529,000,000 ","15","15","Office, Retail, Industrial","United States, Europe, Japan","1/11/12"
"476","Rubenstein Properties Fund","Rubenstein Partners","Michael O'callaghan","215-399-4572","Value Add","$475,000,000 ","$475,000,000 ","$335,000,000 ","15","15","Office","United States","1/11/12"
"477","Wcp Real Estate Fund 2","Westport Capital Partners","Greg Geiger","310-294-1232","Value Add","$390,000,000 ","$390,000,000 ","$270,000,000 ","15","15","Office, Multifamily","Eastern United States, Washington D.C.","1/11/12"
"478","Embarcadero Capital Investors 3","Embarcadero Capital","Sam Hooker","650-373-1615","Value Add","$365,000,000 ","$365,000,000 ","$220,000,000 ","15","15","Office","United States","1/11/12"
"479","New Boston Real Estate Investment Fund 7","New Boston Fund","Jim Kelleher","617-878-7734","Value Add","$212,000,000 ","$212,000,000 ","$140,000,000 ","15","15","Office, Self Storage, Land","Western United States, Seattle, San Diego","1/11/12"
"480","Hei Hospitality Fund 3","HEI Hotels & Resorts","Clark Hanrattie","203-849-2207","Value Add","$515,000,000 ","$515,000,000 ","$130,000,000 ","15","15","Lodging","United States","1/11/12"
"481","Metropolitan Workforce Housing Fund","Phoenix Realty","Steve Scioscia","212-207-1999","Value Add","$210,000,000 ","$210,000,000 ","$124,000,000 ","15","15","Multifamily","United States","1/11/12"
"482","Cornerstone Hotel Income & Equity Fund 2","Cornerstone Real Estate","James O'shaughnessy","860-509-2273","Value Add","$446,000,000 ","$446,000,000 ","$123,000,000 ","15","15","Lodging","New York City","1/11/12"
"483","Penwood Select Industrial Partners 2","Penwood Real Estate Investment","Rick Chase","860-218-6535","Value Add","$202,000,000 ","$202,000,000 ","$110,000,000 ","15","15","Industrial","United States","1/11/12"
"484","Corestate German Commercial Fund","Corestate Capital","Andrew Hills","44-207-183-7612","Value Add","$206,655,000 ","$168,900,721 ","$103,327,500 ","15","15","Office","United States","1/11/12"
"485","Genesis Workforce Housing Fund 2","Phoenix Realty","Alex Saunders","310-598-2700","Value Add","$170,000,000 ","$170,000,000 ","$100,000,000 ","15","15","Multifamily","Germany","1/11/12"
"486","Davis Investment Ventures Value Opportunity Fund 1","Davis Cos.","Jonathan Davis","617-513-1113","High Yield Debt","$229,000,000 ","$229,000,000 ","$100,000,000 ","15","15","Office","Los Angeles","1/11/12"
"487","Composition Capital Asia Fund 2","Composition Capital","William Shaw","852-3-101-7681","Fund of Funds","$172,300,000 ","$172,300,000 ","$86,150,000 ","15","15","Office","United States","1/11/12"
"488","Soundview Real Estate Partners 3","Soundview Real Estate","Nick Newman","203-588-7256","Value Add","$200,000,000 ","$200,000,000 ","$75,000,000 ","15","15","Office","Asia","1/11/12"
"489","Rockwood Capital Real Estate Partners Fund 8","Rockwood Capital","Sharon Ann Miller","914-287-8850","Value Add","$964,000,000 ","$964,000,000 ","$72,000,000 ","15","15","Office","United States","1/11/12"
"490","Principal Green Property Fund","Principal Real Estate Investors","Vance Voss","515-248-8400","Value Add","$214,000,000 ","$214,000,000 ","$70,000,000 ","15","15","Office","United States","1/11/12"
"491","Kayne Anderson Real Estate Partners Fund 1","Kayne Anderson","Albert Rabil","917-767-3131","Value Add","$136,000,000 ","$136,000,000 ","$68,000,000 ","15","15","Student Housing","United States","1/11/12"
"492","J.P. Morgan Greater Europe Opportunistic Fund","J.P. Morgan","Peter Reilly","44-207-777-0410","Value Add","$245,230,600 ","$245,230,600 ","$65,270,502 ","15","15","Office","United States","1/11/12"
"493","Nl Ventures 8","AIC Ventures","Luis Medina","512-476-5009","Value Add","$100,000,000 ","$100,000,000 ","$50,000,000 ","15","15","Office","Europe","1/11/12"
"494","Marcus Capital Partners Fund 1","Marcus Partners","Kyle O'connor","617-556-5200","Value Add","$250,000,000 ","$250,000,000 ","$50,000,000 ","15","15","Office, Medical Office","United States","1/11/12"
"495","Flag Real Assets Partners","Flag Capital","Timo Fritzinger","617-557-5718","Fund of Funds","$150,000,000 ","$150,000,000 ","$48,000,000 ","15","15","Office","Eastern United States","1/11/12"
"496","O'connor Retail Partners","O'Connor Capital","Bill O'connor","212-308-7700","Value Add","$500,000,000 ","$150,000,000 ","$35,000,000 ","15","15","Retail","United States","1/11/12"
"497","J.P. Morgan Urban Renaissance Property Fund","J.P. Morgan","Doug Lawrence","212-648-2156","Value Add","$181,500,000 ","$181,500,000 ","$33,000,000 ","15","15","Office, Multifamily","United States, Mexico","1/11/12"
"498","Opportunity Land Fund No. 7","Rockspring Capital","Davis Adams","713-535-2240","Value Add","$100,000,000 ","$20,000,000 ","$20,000,000 ","15","15","Land","United States","1/11/12"
"499","Stonemason Partners Fund 1","Stonemason Partners","Gustaf Arnoldsson","305-975-6020","Value Add","$50,000,000 ","$50,000,000 ","$20,000,000 ","15","15","Retail","Texas","1/11/12"
"500","Ecm Income & Growth Fund 3","Equity Capital","Shelby Pruett","312-827-2270","Value Add","$100,000,000 ","$100,000,000 ","$20,000,000 ","15","15","Office, Retail, Industrial","Southeastern United States, Eastern United States, Washington D.C.","1/11/12"
"501","Sentinel Multifamily Value-added Fund 1","Sentinel Real Estate","Millie Cassidy","212-408-5000","Value Add","$85,000,000 ","$85,000,000 ","$17,000,000 ","15","15","Multifamily","Midwestern Western United States","1/11/12"
"502","Gemini Opportunity Fund 4","Gemini Real Estate","Will Obeid","212-871-6280","High Yield Debt","$50,000,000 ","$25,000,000 ","$5,000,000 ","15","15","Mezzanine Loans","United States","1/11/12"
"503","Cp Affordable Housing Value Fund 1","Century Pacific Equity","Irwin Deutch","310-208-1888","Value Add","$100,000,000 ","","","15","15","Multifamily","United States","1/11/12"
"504","Unnamed Vehicle","SVN Equities","Burton Young","949-705-5004","Value Add","$100,000,000 ","","","15","15","Office","United States","1/11/12"
"505","Connaught Distressed Situation Fund","Connaught Real Estate Finance","Sean Conlon","312-621-3300","High Yield Debt","$150,000,000 ","","","15","15","Mortgages","United States","1/11/12"
"506","Penwood Select Industrial Partners 3","Penwood Real Estate Investment","Rick Chase","860-218-6535","Value Add","$200,000,000 ","","","15","15","Industrial","United States","1/11/12"
"507","Ecm International Real Estate Fund","Equity Capital","Shelby Pruett","312-827-2270","Value Add","$250,000,000 ","","","15","15","Office","Southern California","1/11/12"
"508","Cohen & Steers Global Realty Partners","Cohen & Steers Capital","Stephen Coyle, Stephen Dunn","212-446-9187","Fund of Funds","$250,000,000 ","","","15","15","Office, Multifamily","Europe","1/11/12"
"509","Racebrook Capital Partners","Racebrook Capital","Victor Fracaro","415-676-7985","High Yield Debt","$250,000,000 ","","","15","15","Office, Multifamily","United States, International","1/11/12"
"510","Equibase Real Estate Fund 2","Equibase Capital","John Didrickson","773-489-7600","High Yield Debt","$300,000,000 ","","","15","15","Mezzanine Loans","United States","1/11/12"
"511","Meridian Realty Partners Fund 1","Meridian Group","David Cheek","301-718-0800","Value Add","$300,000,000 ","","","15","15","Office","United States","1/11/12"
"512","Mrm Real Estate Capital Fund 1","Marley Real Estate, Robert Martin","Stephanie Power","212-581-4540","Value Add","$300,000,000 ","","","15","15","Office, Multifamily","Washington D.C.","1/11/12"
"513","Macfarlan Distressed Asset Fund","MacFarlan Capital","Todd White","214-932-3103","Value Add","$300,000,000 ","","","15","15","Office, Multifamily","New York City, Southeastern United States","1/11/12"
"514","Hearthstone Multi-state Fund 14","Hearthstone Advisors","Mark Porath","818-385-3541","Value Add","$350,000,000 ","","","15","15","Land","Southwestern United States","1/11/12"
"515","Grosvenor Us Multifamily Fund","Grosvenor Investment","Rob Kilroy","215-575-3704","Value Add","$500,000,000 ","","","15","15","Multifamily","United States","1/11/12"
"516","Wcp Real Estate Fund 3","Westport Capital Partners","Greg Geiger","310-294-1232","Value Add","$500,000,000 ","","","15","15","Office, Multifamily","United States","1/11/12"
"517","Lasalle Income & Growth Fund 6","LaSalle Investment","Jim Hutchinson","312-228-2396","Value Add","$700,000,000 ","","","15","15","Office, Industrial","United States, Asia","1/11/12"
"518","Liquid Realty Partners 5","Liquid Realty","Scott Landress","415-875-7500","Fund of Funds","$750,000,000 ","","","15","15","Secondary Stakes","United States","1/11/12"
"519","Medstone Equity","RMC Medstone Capital","Chris Matthews","214-369-6192","Value Add","$75,000,000 ","$3,000,000 ","","15","15","Medical Office","United States","1/11/12"
"520","Apca Property Fund 2","Paradigm Capital","Steve Allison","617-933-8260","Value Add","$100,000,000 ","$10,000,000 ","","15","15","Industrial, Office","Western United States, Los Angeles, San Francisco, Seattle, San Diego, Midwestern Western United States, Southwestern United States","1/11/12"
"521","Quinlan Real Estate Fund 1","Quinlan Development","Timothy Quinlan","212-712-6193","Value Add","$50,000,000 ","$30,000,000 ","","15","15","Retail","Northeastern United States, New York City","1/11/12"
"522","Meritage Real Estate Value Partners Fund 3","Meritage Properties","Andrew Nathan","914-723-3533","Value Add","$150,000,000 ","$37,000,000 ","","15","15","Office","New York City","1/11/12"
"523","Woodbury Strategic Partners Fund","Woodbury Corp.","Lane Critchfield","801-961-1130","Value Add","$200,000,000 ","$70,000,000 ","","15","15","Office","Eastern United States","1/11/12"
"524","Franklin Templeton Real Estate Fund","Franklin Templeton Real Estate Investments","Marc Weidner","212-632-4206","Fund of Funds","$300,000,000 ","$70,000,000 ","","15","15","Office","Mountain States","1/11/12"
"525","Kayne Anderson Real Estate Partners Fund 2","Kayne Anderson","Albert Rabil","917-767-3131","Value Add","$350,000,000 ","$119,000,000 ","","15","15","Student Housing, Self Storage","United States, International","1/11/12"
"526","Green Courte Real Estate Partners Fund 3","Green Courte Partners","James Goldman","847-582-9403","Value Add","$350,000,000 ","$119,600,000 ","","15","15","Manufactured Housing, Parking","United States","1/11/12"
"527","Waterton Residential Property Fund 11","Waterton Associates","David Schwartz","312-948-4502","Value Add","$500,000,000 ","$500,000,000 ","","15","15","Multifamily","United States","1/11/12"
"528","Starwood Global Opportunity Fund 8","Starwood Capital","Jeffrey Dishner","203-422-7700","Opportunity","$1,830,000,000 ","$1,830,000,000 ","$985,000,000 ","16","16","Office","United States","1/11/12"
"529","Area European Real Estate Fund 3","AREA Property","William Benjamin","44-207-259-3000","Opportunity","$1,375,000,000 ","$1,375,000,000 ","$929,000,000 ","16","16","Office","United States","1/11/12"
"530","European Property Investors Special Opportunities Fund","AEW Capital","Rob Wilkinson","44-207-016-4800","Opportunity","$1,085,627,600 ","$1,085,627,600 ","$709,528,093 ","16","16","Office","Europe","1/11/12"
"531","Resolution Real Estate Fund 3","Resolution Property","Robert Laurence","44-207-518-8383","Opportunity","$1,102,160,000 ","$1,102,160,000 ","$552,674,253 ","16","16","Office","Europe","1/11/12"
"532","Cb Richard Ellis Strategic Partners Opportunity Fund 5","CB Richard Ellis Investors","Phil Hench","213-683-4255","Opportunity","$600,000,000 ","$600,000,000 ","$390,000,000 ","16","16","Office, Multifamily","England, Europe","1/11/12"
"533","Jbg Fund 7","JBG Cos.","James Iker","240-333-3668","Opportunity","$576,500,000 ","$576,500,000 ","$375,000,000 ","16","16","Office","United States","1/11/12"
"534","Starwood Capital Hospitality Fund 2","Starwood Capital","Rich Gomel","203-422-7700","Opportunity","$965,000,000 ","$965,000,000 ","$355,000,000 ","16","16","Lodging","Washington D.C.","1/11/12"
"535","Stockbridge Real Estate Fund 3","Stockbridge Capital","Stephen Pilch","415-658-3300","Opportunity","$1,150,000,000 ","$1,150,000,000 ","$340,000,000 ","16","16","Office, Lodging","United States, Asia","1/11/12"
"536","Fudo Capital Fund 2","CLSA Capital","John Pattar","852-2-600-8888","Opportunity","$815,800,000 ","$815,800,000 ","$285,000,000 ","16","16","Office","United States","1/11/12"
"537","Meyer Bergman European Retail Partners","Meyer Bergman","Markus Meijer","44-207-355-8300","Opportunity","$427,087,000 ","$427,087,000 ","$277,606,550 ","16","16","Retail","Asia","1/11/12"
"538","Preco 4","Prudential Real Estate Investors","Gary Kaufmann","973-734-1300","Opportunity","$416,500,000 ","$416,500,000 ","$180,000,000 ","16","16","Office, Retail","Europe","1/11/12"
"539","Mountgrange Real Estate Opportunity Fund","Mountgrange Investment","Rob West","44-207-494-7620","Opportunity","$488,010,000 ","$488,010,000 ","$156,413,462 ","16","16","Office","United States","1/11/12"
"540","Blackrock Retail Opportunity Fund","BlackRock Realty","John Lamb","212-810-5300","Opportunity","$503,000,000 ","$503,000,000 ","$101,000,000 ","16","16","Retail","England","1/11/12"
"541","Covenant Apartment Fund 6","Covenant Capital","Rick Scarola","615-250-1617","Opportunity","$140,000,000 ","$140,000,000 ","$84,000,000 ","16","16","Multifamily","United States","1/11/12"
"542","Perseus Realty Partners 2","PRP Real Estate Investors","Paul Dougherty","202-741-8402","Opportunity","$62,000,000 ","$62,000,000 ","$40,000,000 ","16","16","Office","United States","1/11/12"
"543","Willco Fund 1","Willco Cos.","Jason Goldblatt","301-279-7000","Opportunity","$100,000,000 ","","","16","16","Office","United States","1/11/12"
"544","Phoenix Partners Fund 1","Phoenix Capital","Andrew Scott","972-866-7577","Opportunity","$150,000,000 ","","","16","16","Office","Washington D.C.","1/11/12"
"545","G2 Hospitality Fund","G2 Real Estate","Alan Kanders","212-887-1150","Opportunity","$300,000,000 ","","","16","16","Lodging","United States","1/11/12"
"546","Pccp Workout And Recapitalization Venture","PCCP","William Lindsay","310-414-7868","High Yield Debt","$500,000,000 ","","","16","16","Distressed","United States","1/11/12"
"547","Tucker Development & Acquisition Fund","Tucker Development","Richard Tucker","847-926-9999","Opportunity","$90,900,000 ","$90,900,000 ","","16","16","Retail","United States","1/11/12"
"548","Integrated Capital Hospitality Fund 1","Integrated Capital","Kenneth Fearn","310-441-8801","Opportunity","$105,000,000 ","$105,000,000 ","","16","16","Lodging","New Jersey","1/11/12"
"549","Crossharbor Institutional Partners 2","CrossHarbor Capital","Jay Hart","617-624-8327","High Yield Debt","$750,000,000 ","$131,900,000 ","","16","16","Office","United States","1/11/12"
"550","Cim Real Estate Fund 3","CIM Group","Shaul Kuba","323-860-4900","Opportunity","$2,000,000,000 ","$2,000,000,000 ","$1,450,000,000 ","17","17","Office","United States","1/11/12"
"551","Orion European Real Estate Fund 3","Orion Capital Managers","Van Stults","33-15-396-5070","Opportunity","$1,763,456,000 ","$1,763,456,000 ","$556,774,282 ","17","17","Office, Retail","United States, Caribbean","1/11/12"
"552","Duet European Real Estate Debt","Duet Group","Alina Gorbacheva","646-747-2435","High Yield Debt","$325,340,000 ","$268,400,000 ","$175,000,000 ","17","17","Mortgages","Europe","1/11/12"
"553","Thor Urban Operating Fund 2","Thor Equities","Joseph Sitt","212-529-5055","Opportunity","$673,000,000 ","$673,000,000 ","$110,000,000 ","17","17","Retail, Other","England, Germany, Denmark","1/11/12"
"554","Acadia Strategic Opportunity Fund 3","Acadia Realty","Joel Braun","914-288-8146","Opportunity","$502,000,000 ","$502,000,000 ","$96,500,000 ","17","17","Retail","United States","1/11/12"
"555","Och-ziff Real Estate Fund 2","Och-Ziff Capital","Steven Orbuch","212-790-0105","Opportunity","$750,000,000 ","$652,000,000 ","$65,000,000 ","17","17","Lodging, Gaming","United States","1/11/12"
"556","Pacifica Senior Housing Fund 1","Pacifica Equity","Chris Rosenstock","619-296-9000","Opportunity","$200,000,000 ","","","17","17","Senior Housing","United States","1/11/12"
"557","Tremont Special Opportunity Debt Fund","Tremont Realty Capital","Richard Gallitto","617-867-0700","High Yield Debt","$300,000,000 ","","","17","17","Mezzanine Loans","Southwestern United States","1/11/12"
"558","Lasalle Asia Opportunity Fund 3","LaSalle Investment","Marc Montanus","65-6-494-3547","Opportunity","$3,000,000,000 ","$3,000,000,000 ","$1,200,000,000 ","18","18","Office","United States","1/11/12"
"559","Fidelity Real Estate Growth Fund 3","Fidelity Investments","Jeff Tapley","617-563-7000","Opportunity","$875,000,000 ","$875,000,000 ","$450,000,000 ","18","18","Office, Multifamily, Retail","Japan, Korea, China","1/11/12"
"560","Iron Point Real Estate Partners Fund 1","Iron Point Partners","Bill James","202-452-8400","Opportunity","$460,000,000 ","$460,000,000 ","$325,000,000 ","18","18","Office","United States","1/11/12"
"561","Highcross Regional Uk Partners 3","Highcross Group","Peter Gubb","44-163-552-1088","Opportunity","$709,241,200 ","$709,241,200 ","$319,833,513 ","18","18","Office","United States","1/11/12"
"562","Carlyle Asia Real Estate Partners 2","Carlyle Group","Jason Lee","85-22-878-7000","Opportunity","$485,000,000 ","$485,000,000 ","$315,000,000 ","18","18","Retail, Office","England","1/11/12"
"563","Forum European Realty Income Fund 3","Forum Partners","Andrew Walker","44-207-399-3800","Opportunity","$610,321,100 ","$610,321,100 ","$274,946,634 ","18","18","Office","Asia","1/11/12"
"564","Capital China Real Estate Investment Fund 3","CITIC Capital","Stanley Ching","852-2-237-6888","Opportunity","$409,176,900 ","$409,176,900 ","$265,964,985 ","18","18","Office","Europe","1/11/12"
"565","Ocm Real Estate Opportunities Fund 4","Oaktree Capital","John Brady","213-830-6300","Opportunity","$451,000,000 ","$451,000,000 ","$225,000,000 ","18","18","Office","China","1/11/12"
"566","Moorfield Real Estate Fund 2","Moorfield Group","Marc Gilbard","44-207-399-1900","Opportunity","$634,413,000 ","$634,413,000 ","$213,299,280 ","18","18","Office","United States","1/11/12"
"567","Clerestory Small Cap Real Estate Fund 1","Clerestory Capital","Joanne Douvas","212-584-2020","Fund of Funds","$195,000,000 ","$195,000,000 ","$135,000,000 ","18","18","Office","England","1/11/12"
"568","Unitech International Realty Fund","Unitech Realty Investors","Deepak Bajaj","91-124-408-2020","Opportunity","$269,000,000 ","$269,000,000 ","$100,000,000 ","18","18","Multifamily","United States","1/11/12"
"569","Harrison Street Real Estate Partners Fund 3","Harrison Street Real Estate Capital","Michael Gordon","312-920-1854","Opportunity","$500,000,000 ","$350,000,000 ","$80,000,000 ","18","18","Other","India","1/11/12"
"570","Cityview Los Angeles Urban Fund","CityView","Con Howe","310-566-8738","Opportunity","$150,000,000 ","$150,000,000 ","$70,000,000 ","18","18","Land","United States","1/11/12"
"571","Khp Fund 2","Kimpton Hotel & Restaurant","Joe Long","415-397-5572","Opportunity","$202,000,000 ","$202,000,000 ","$70,000,000 ","18","18","Lodging","Los Angeles","1/11/12"
"572","Forum Asian Realty Income Fund 3","Forum Partners","Merrit Maddux","852-2-522-2708","Opportunity","$1,000,000,000 ","$275,000,000 ","$50,000,000 ","18","18","Office, Multifamily","United States, Canada","1/11/12"
"573","Wp Real Estate Fund 5","WP Realty","Randall Stein","610-552-6000","Opportunity","$115,000,000 ","$115,000,000 ","$20,000,000 ","18","18","Retail","Asia","1/11/12"
"574","Rexford Industrial Fund 5","Rexford Industrial","Michael Frankel","310-966-3814","Opportunity","$250,000,000 ","$40,000,000 ","$12,000,000 ","18","18","Industrial","Northeastern United States, Eastern United States","1/11/12"
