"","CIP_Classificaiton","Year","ID_School","White.Men","Foreign.Men","Foreign.Women","Asian.Islander.Men","Asian.Islander.Women","White.Women","Hispanic.Men","Hispanic.Women","Black.Men","Black.Women","Other.Men","Other.Women"
"18906","Area- Ethnic- Cultural- Gender- and Group Studies","2008-2009","OSU",0,0,0,0,0,14,0,1,2,9,0,0
"18907","Communication- Journalism- and Related Programs","2008-2009","OSU",203,1,2,6,15,281,5,10,22,32,7,11
"18908","Computer and Information Sciences and Support Services","2008-2009","OSU",90,12,2,12,1,8,3,0,2,0,1,0
"18909","Education","2008-2009","OSU",67,0,0,2,1,149,0,3,4,5,1,7
"18910","Engineering","2008-2009","OSU",461,32,8,28,4,79,12,1,17,4,12,0
"18911","Engineering Technologies and Engineering-related Fields","2008-2009","OSU",5,0,0,0,0,0,0,0,1,0,0,0
"18912","Foreign Languages- Literatures- and Linguistics","2008-2009","OSU",70,1,4,6,11,128,3,12,5,11,5,8
"18913","Family and Consumer Sciences/Human Sciences","2008-2009","OSU",213,4,8,11,21,487,11,17,29,52,3,14
"18914","English language and literature/letters.","2008-2009","OSU",104,0,0,4,5,137,1,3,8,10,2,5
"18915","Liberal arts and sciences- general studies and humanities.","2008-2009","OSU",6,0,0,1,1,13,0,1,1,1,0,0
"18916","Biological and Biomedical Sciences","2008-2009","OSU",212,7,6,36,53,196,8,9,17,18,10,9
"18917","Mathematics and Statistics","2008-2009","OSU",30,2,0,3,0,11,0,0,2,0,2,1
"18918","Multi/Interdisciplinary Studies","2008-2009","OSU",26,0,0,2,1,26,0,2,3,1,0,1
"18919","Parks- Recreation- Leisure and Fitness Studies","2008-2009","OSU",74,0,2,0,0,25,3,1,6,2,0,0
"18920","Philosophy and Religious Studies","2008-2009","OSU",35,0,0,2,0,9,1,1,0,0,2,0
"18921","Physical Sciences","2008-2009","OSU",43,1,1,3,1,19,2,1,3,0,2,4
"18922","Psychology","2008-2009","OSU",122,1,4,10,23,259,6,9,14,34,2,9
"18923","Public administration and social service professions.","2008-2009","OSU",6,0,0,0,1,45,0,3,2,15,0,0
"18924","Social Sciences and History","2008-2009","OSU",552,19,13,40,20,394,18,20,44,67,24,18
"18925","Transportation and materials moving.","2008-2009","OSU",40,0,0,0,0,1,1,0,1,0,0,0
"18926","Visual and performing arts.","2008-2009","OSU",104,4,0,7,4,127,1,6,7,16,8,3
"18927","Health Professions and Related Programs","2008-2009","OSU",121,1,6,14,24,495,4,5,14,29,9,28
"18928","Business- Management- Marketing- and Related Support Services","2008-2009","OSU",663,66,40,45,40,394,8,8,17,15,22,14
"18929","History","2008-2009","OSU",136,0,1,2,1,42,4,4,4,2,5,3
"18930","Agriculture- Agriculture Operations and Related Sciences","2008-2009","RUT",20,0,0,5,7,50,3,6,0,3,0,1
"18931","Natural Resources and Conservation","2008-2009","RUT",31,0,0,1,3,33,2,1,0,1,2,0
"18932","Architecture and Related Services","2008-2009","RUT",16,0,0,2,3,10,1,0,0,0,2,0
"18933","Area- Ethnic- Cultural- Gender- and Group Studies","2008-2009","RUT",20,0,1,5,4,37,1,7,6,11,3,6
"18934","Communication- Journalism- and Related Programs","2008-2009","RUT",129,4,1,15,61,219,14,33,18,37,6,17
"18935","Computer and Information Sciences and Support Services","2008-2009","RUT",62,3,0,24,7,11,11,1,10,2,3,3
"18936","Engineering","2008-2009","RUT",205,11,1,117,37,25,24,10,12,1,13,3
"18937","Foreign Languages- Literatures- and Linguistics","2008-2009","RUT",15,0,1,5,7,36,4,21,0,7,3,5
"18938","English language and literature/letters.","2008-2009","RUT",52,0,0,5,22,109,7,16,2,16,8,14
"18939","Biological and Biomedical Sciences","2008-2009","RUT",93,6,13,98,160,117,11,24,17,20,14,18
"18940","Mathematics and Statistics","2008-2009","RUT",34,3,3,18,8,17,2,2,2,1,2,0
"18941","Multi/Interdisciplinary Studies","2008-2009","RUT",5,0,0,0,13,27,1,2,0,2,0,1
"18942","Parks- Recreation- Leisure and Fitness Studies","2008-2009","RUT",73,0,0,24,18,52,4,10,7,7,2,4
"18943","Philosophy and Religious Studies","2008-2009","RUT",31,1,0,6,7,15,7,0,1,3,4,1
"18944","Physical Sciences","2008-2009","RUT",35,1,0,12,5,26,4,0,2,0,5,0
"18945","Psychology","2008-2009","RUT",105,0,5,33,84,242,15,38,14,38,8,19
"18946","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2008-2009","RUT",112,0,0,24,6,41,15,19,13,12,3,5
"18947","Public administration and social service professions.","2008-2009","RUT",2,0,0,0,4,18,0,4,1,4,0,0
"18948","Social Sciences and History","2008-2009","RUT",305,14,6,132,109,193,37,47,35,44,25,20
"18949","Visual and performing arts.","2008-2009","RUT",59,0,5,6,21,111,4,6,5,7,4,13
"18950","Health Professions and Related Programs","2008-2009","RUT",5,0,1,2,14,24,2,9,1,15,0,4
"18951","Business- Management- Marketing- and Related Support Services","2008-2009","RUT",129,2,4,65,66,78,15,15,9,17,8,11
"18952","History","2008-2009","RUT",127,0,0,15,17,65,4,9,3,6,6,2
"18953","Natural Resources and Conservation","2008-2009","SCAR",0,0,0,0,0,0,0,0,0,0,0,0
"18954","Area- Ethnic- Cultural- Gender- and Group Studies","2008-2009","SCAR",0,0,0,0,0,6,0,0,2,5,0,0
"18955","Communication- Journalism- and Related Programs","2008-2009","SCAR",58,1,0,2,4,165,2,1,8,20,8,21
"18956","Computer and Information Sciences and Support Services","2008-2009","SCAR",19,0,1,1,0,3,0,0,4,4,1,0
"18957","Education","2008-2009","SCAR",19,1,0,0,3,190,2,3,3,16,2,22
"18958","Engineering","2008-2009","SCAR",118,1,1,8,0,15,3,2,17,4,12,2
"18959","Foreign Languages- Literatures- and Linguistics","2008-2009","SCAR",4,0,0,0,0,29,1,1,2,5,1,2
"18960","English language and literature/letters.","2008-2009","SCAR",42,0,0,0,1,63,2,2,3,8,11,13
"18961","Liberal arts and sciences- general studies and humanities.","2008-2009","SCAR",8,0,0,1,2,20,0,1,3,11,1,6
"18962","Biological and Biomedical Sciences","2008-2009","SCAR",50,0,1,6,16,89,1,5,2,25,10,14
"18963","Mathematics and Statistics","2008-2009","SCAR",14,1,0,1,1,11,1,1,6,4,3,0
"18964","Parks- Recreation- Leisure and Fitness Studies","2008-2009","SCAR",87,2,0,2,4,109,5,3,9,19,15,7
"18965","Philosophy and Religious Studies","2008-2009","SCAR",15,0,0,0,0,4,0,0,3,1,4,1
"18966","Physical Sciences","2008-2009","SCAR",36,3,0,2,2,21,1,3,2,2,2,3
"18967","Psychology","2008-2009","SCAR",37,0,0,0,4,119,1,1,7,28,3,22
"18968","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2008-2009","SCAR",61,0,0,0,0,39,1,3,14,29,8,6
"18969","Public administration and social service professions.","2008-2009","SCAR",0,0,0,0,0,0,0,0,0,0,0,0
"18970","Social Sciences and History","2008-2009","SCAR",133,1,0,3,6,126,4,5,13,47,24,15
"18971","Visual and performing arts.","2008-2009","SCAR",85,1,0,1,2,85,4,2,14,16,11,14
"18972","Health Professions and Related Programs","2008-2009","SCAR",8,0,0,1,3,150,0,3,2,31,2,22
"18973","Business- Management- Marketing- and Related Support Services","2008-2009","SCAR",447,11,3,16,23,366,9,17,39,64,66,48
"18974","History","2008-2009","SCAR",65,0,0,0,0,31,2,0,2,3,10,1
"18975","Natural Resources and Conservation","2008-2009","SJ.ST",8,0,0,5,7,9,3,4,3,0,4,1
"18976","Area- Ethnic- Cultural- Gender- and Group Studies","2008-2009","SJ.ST",0,0,0,0,0,1,0,0,1,0,0,0
"18977","Communication- Journalism- and Related Programs","2008-2009","SJ.ST",43,2,5,26,31,56,16,21,9,5,17,20
"18978","Computer and Information Sciences and Support Services","2008-2009","SJ.ST",19,5,3,34,7,2,3,1,3,0,10,0
"18979","Education","2008-2009","SJ.ST",2,0,1,3,29,41,1,22,0,2,2,19
"18980","Engineering","2008-2009","SJ.ST",67,32,6,153,27,13,38,14,10,3,37,2
"18981","Foreign Languages- Literatures- and Linguistics","2008-2009","SJ.ST",4,0,0,5,4,5,4,6,0,0,3,3
"18982","English language and literature/letters.","2008-2009","SJ.ST",22,0,2,13,15,48,10,18,5,6,14,20
"18983","Liberal arts and sciences- general studies and humanities.","2008-2009","SJ.ST",5,0,1,2,5,39,3,13,2,0,1,10
"18984","Biological and Biomedical Sciences","2008-2009","SJ.ST",6,3,3,17,32,18,1,7,2,3,8,10
"18985","Mathematics and Statistics","2008-2009","SJ.ST",3,0,2,6,5,2,0,2,1,0,2,2
"18986","Multi/Interdisciplinary Studies","2008-2009","SJ.ST",4,0,0,4,7,19,2,12,1,5,3,5
"18987","Parks- Recreation- Leisure and Fitness Studies","2008-2009","SJ.ST",22,2,4,19,14,37,9,8,2,8,9,13
"18988","Philosophy and Religious Studies","2008-2009","SJ.ST",8,0,0,0,0,3,0,0,0,0,1,4
"18989","Physical Sciences","2008-2009","SJ.ST",6,3,1,8,13,6,1,2,0,0,2,2
"18990","Psychology","2008-2009","SJ.ST",16,2,2,14,47,57,16,39,3,5,8,23
"18991","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2008-2009","SJ.ST",16,0,0,28,14,24,32,49,4,5,9,13
"18992","Public administration and social service professions.","2008-2009","SJ.ST",3,0,1,5,17,16,5,23,0,3,0,5
"18993","Social Sciences and History","2008-2009","SJ.ST",38,3,4,31,22,49,31,41,17,12,24,30
"18994","Transportation and materials moving.","2008-2009","SJ.ST",14,1,0,11,1,3,6,0,2,0,0,2
"18995","Visual and performing arts.","2008-2009","SJ.ST",41,9,8,55,65,75,20,28,1,6,30,45
"18996","Health Professions and Related Programs","2008-2009","SJ.ST",6,1,6,35,152,94,5,48,0,15,8,45
"18997","Business- Management- Marketing- and Related Support Services","2008-2009","SJ.ST",217,37,32,326,286,139,106,92,26,20,77,68
"18998","History","2008-2009","SJ.ST",19,1,0,5,1,15,5,2,0,2,5,5
"18999","Natural Resources and Conservation","2008-2009","SMU",0,0,0,0,0,0,0,0,0,0,0,0
"19000","Area- Ethnic- Cultural- Gender- and Group Studies","2008-2009","SMU",2,1,2,0,0,1,1,1,0,0,0,0
"19001","Communication- Journalism- and Related Programs","2008-2009","SMU",30,2,5,2,7,147,3,12,0,9,1,2
"19002","Computer and Information Sciences and Support Services","2008-2009","SMU",3,1,0,1,0,0,0,1,0,0,0,0
"19003","Education","2008-2009","SMU",1,0,0,0,0,3,0,0,0,0,0,0
"19004","Engineering","2008-2009","SMU",45,2,1,1,3,22,6,1,1,2,1,0
"19005","Engineering Technologies and Engineering-related Fields","2008-2009","SMU",0,0,0,0,0,0,0,0,0,0,0,0
"19006","Foreign Languages- Literatures- and Linguistics","2008-2009","SMU",11,3,0,0,1,26,2,9,0,2,1,0
"19007","English language and literature/letters.","2008-2009","SMU",20,1,2,0,1,38,1,2,1,3,0,0
"19008","Liberal arts and sciences- general studies and humanities.","2008-2009","SMU",20,1,2,0,0,11,3,2,1,0,0,0
"19009","Biological and Biomedical Sciences","2008-2009","SMU",12,0,0,5,2,25,0,1,1,1,0,0
"19010","Mathematics and Statistics","2008-2009","SMU",25,0,1,3,0,12,2,2,0,0,0,0
"19011","Multi/Interdisciplinary Studies","2008-2009","SMU",2,0,0,0,2,17,1,4,1,1,0,0
"19012","Philosophy and Religious Studies","2008-2009","SMU",6,0,0,2,0,11,3,0,0,0,0,0
"19013","Physical Sciences","2008-2009","SMU",4,0,0,0,2,7,0,0,0,1,0,0
"19014","Psychology","2008-2009","SMU",14,1,3,0,9,51,4,5,2,3,0,1
"19015","Public administration and social service professions.","2008-2009","SMU",9,0,0,0,2,2,0,0,1,0,0,0
"19016","Social Sciences and History","2008-2009","SMU",136,9,3,10,3,68,19,16,12,7,0,2
"19017","Visual and performing arts.","2008-2009","SMU",33,0,1,0,3,65,4,7,1,7,1,0
"19018","Health Professions and Related Programs","2008-2009","SMU",0,0,0,0,0,0,0,0,0,0,0,0
"19019","Business- Management- Marketing- and Related Support Services","2008-2009","SMU",177,20,15,18,18,148,20,7,7,6,1,2
"19020","History","2008-2009","SMU",13,0,0,0,0,18,0,0,1,0,0,0
"19021","Area- Ethnic- Cultural- Gender- and Group Studies","2008-2009","STAN",4,0,2,3,5,15,2,2,2,3,1,5
"19022","Communication- Journalism- and Related Programs","2008-2009","STAN",6,1,1,3,5,10,2,3,5,4,0,0
"19023","Computer and Information Sciences and Support Services","2008-2009","STAN",16,9,1,26,2,0,3,0,5,0,2,0
"19024","Engineering","2008-2009","STAN",65,15,2,41,34,35,21,11,6,3,8,1
"19025","Engineering Technologies and Engineering-related Fields","2008-2009","STAN",12,4,3,6,7,3,6,1,4,3,1,0
"19026","Foreign Languages- Literatures- and Linguistics","2008-2009","STAN",11,0,0,0,8,11,1,2,2,0,0,2
"19027","English language and literature/letters.","2008-2009","STAN",14,0,6,5,10,23,2,3,2,0,3,2
"19028","Liberal arts and sciences- general studies and humanities.","2008-2009","STAN",1,1,0,1,2,0,0,1,0,2,0,0
"19029","Biological and Biomedical Sciences","2008-2009","STAN",17,4,3,26,26,16,6,7,4,2,4,5
"19030","Mathematics and Statistics","2008-2009","STAN",13,7,2,12,3,10,3,1,3,0,6,1
"19031","Multi/Interdisciplinary Studies","2008-2009","STAN",53,3,3,26,33,81,8,15,17,25,10,15
"19032","Philosophy and Religious Studies","2008-2009","STAN",8,0,1,1,5,4,1,1,1,1,3,0
"19033","Physical Sciences","2008-2009","STAN",22,0,0,6,6,17,5,1,1,1,7,0
"19034","Psychology","2008-2009","STAN",5,0,3,1,5,25,1,3,1,12,3,8
"19035","Public administration and social service professions.","2008-2009","STAN",7,0,1,1,2,1,3,1,0,2,1,1
"19036","Social Sciences and History","2008-2009","STAN",75,19,15,29,44,70,13,29,22,26,13,21
"19037","Visual and performing arts.","2008-2009","STAN",8,0,1,2,5,16,3,3,3,2,0,2
"19038","History","2008-2009","STAN",19,0,2,4,2,14,3,2,1,0,6,2
"19039","Agriculture- Agriculture Operations and Related Sciences","2008-2009","TAM",500,5,2,5,2,358,44,47,21,7,7,4
"19040","Natural Resources and Conservation","2008-2009","TAM",92,0,0,5,2,59,13,11,2,7,0,2
"19041","Architecture and Related Services","2008-2009","TAM",80,1,1,3,5,66,14,6,2,2,1,0
"19042","Area- Ethnic- Cultural- Gender- and Group Studies","2008-2009","TAM",2,0,0,0,0,0,0,0,0,0,0,0
"19043","Communication- Journalism- and Related Programs","2008-2009","TAM",14,0,0,0,1,13,1,3,0,1,0,1
"19044","Computer and Information Sciences and Support Services","2008-2009","TAM",74,1,0,3,1,5,6,1,0,0,0,0
"19045","Engineering","2008-2009","TAM",624,97,35,33,7,127,97,24,14,8,2,0
"19046","Engineering Technologies and Engineering-related Fields","2008-2009","TAM",222,0,1,7,0,28,22,3,4,0,3,0
"19047","Foreign Languages- Literatures- and Linguistics","2008-2009","TAM",8,0,1,0,1,16,7,10,1,0,0,0
"19048","Family and Consumer Sciences/Human Sciences","2008-2009","TAM",15,0,1,2,8,105,4,17,1,3,0,1
"19049","English language and literature/letters.","2008-2009","TAM",78,0,0,4,4,330,11,35,3,9,1,2
"19050","Biological and Biomedical Sciences","2008-2009","TAM",192,5,4,35,52,326,33,61,9,8,2,0
"19051","Mathematics and Statistics","2008-2009","TAM",25,0,0,0,2,26,4,5,0,1,0,0
"19052","Multi/Interdisciplinary Studies","2008-2009","TAM",87,2,4,6,10,471,13,52,8,7,2,3
"19053","Parks- Recreation- Leisure and Fitness Studies","2008-2009","TAM",197,0,0,3,3,188,19,11,8,4,1,1
"19054","Philosophy and Religious Studies","2008-2009","TAM",12,0,0,0,0,10,2,0,0,0,0,0
"19055","Physical Sciences","2008-2009","TAM",87,0,2,3,3,47,13,11,1,3,1,2
"19056","Psychology","2008-2009","TAM",61,0,0,5,10,182,12,42,1,10,0,1
"19057","Social Sciences and History","2008-2009","TAM",253,4,2,16,11,176,50,52,7,19,2,2
"19058","Visual and performing arts.","2008-2009","TAM",4,0,0,0,0,7,1,1,0,0,0,0
"19059","Health Professions and Related Programs","2008-2009","TAM",8,0,2,0,1,106,8,14,0,4,0,2
"19060","Business- Management- Marketing- and Related Support Services","2008-2009","TAM",597,2,3,36,29,635,74,75,18,19,4,2
"19061","History","2008-2009","TAM",83,0,0,2,1,72,10,6,1,2,1,3
"19062","Agriculture- Agriculture Operations and Related Sciences","2008-2009","UGA",104,0,2,5,3,80,4,1,1,3,2,1
"19063","Natural Resources and Conservation","2008-2009","UGA",41,0,0,2,0,27,0,0,0,1,1,0
"19064","Architecture and Related Services","2008-2009","UGA",51,0,0,0,0,24,1,0,2,0,1,0
"19065","Area- Ethnic- Cultural- Gender- and Group Studies","2008-2009","UGA",1,0,1,0,2,7,0,0,1,1,0,0
"19066","Communication- Journalism- and Related Programs","2008-2009","UGA",59,0,2,0,13,279,0,4,2,26,4,10
"19067","Communications Technologies/Technicians and Support Services","2008-2009","UGA",36,0,0,0,1,39,1,1,1,3,1,2
"19068","Computer and Information Sciences and Support Services","2008-2009","UGA",32,2,0,1,2,3,0,1,5,2,2,0
"19069","Education","2008-2009","UGA",147,1,0,3,11,348,3,4,4,18,3,11
"19070","Engineering","2008-2009","UGA",26,0,0,1,0,6,0,0,0,1,2,0
"19071","Foreign Languages- Literatures- and Linguistics","2008-2009","UGA",60,0,1,6,9,158,3,7,3,10,1,10
"19072","Family and Consumer Sciences/Human Sciences","2008-2009","UGA",96,2,2,1,10,228,0,4,13,25,2,1
"19073","English language and literature/letters.","2008-2009","UGA",97,0,0,0,6,143,1,2,5,19,4,3
"19074","Liberal arts and sciences- general studies and humanities.","2008-2009","UGA",1,0,0,0,1,11,0,0,0,0,0,1
"19075","Biological and Biomedical Sciences","2008-2009","UGA",183,2,3,43,47,179,5,9,11,22,3,5
"19076","Mathematics and Statistics","2008-2009","UGA",21,0,0,3,0,23,0,0,4,3,1,0
"19077","Multi/Interdisciplinary Studies","2008-2009","UGA",16,0,1,2,5,50,0,2,3,5,0,1
"19078","Parks- Recreation- Leisure and Fitness Studies","2008-2009","UGA",33,0,0,0,0,9,1,0,3,5,1,0
"19079","Philosophy and Religious Studies","2008-2009","UGA",39,0,0,7,3,14,0,0,1,2,5,1
"19080","Physical Sciences","2008-2009","UGA",29,0,0,4,3,16,1,0,0,2,0,0
"19081","Psychology","2008-2009","UGA",71,1,1,8,14,210,2,7,6,21,3,7
"19082","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2008-2009","UGA",22,0,0,0,2,24,1,1,1,7,0,0
"19083","Public administration and social service professions.","2008-2009","UGA",9,0,2,0,3,26,0,1,0,5,0,0
"19084","Social Sciences and History","2008-2009","UGA",255,2,1,17,14,252,3,7,18,20,5,13
"19085","Visual and performing arts.","2008-2009","UGA",53,0,0,1,11,179,0,3,4,3,2,7
"19086","Health Professions and Related Programs","2008-2009","UGA",11,1,1,1,9,116,0,1,0,8,0,1
"19087","Business- Management- Marketing- and Related Support Services","2008-2009","UGA",687,9,7,55,50,497,20,10,24,34,25,5
"19088","History","2008-2009","UGA",78,0,1,1,1,52,4,0,1,4,4,3
"19089","Natural Resources and Conservation","2008-2009","UM",19,0,0,0,2,30,7,1,0,0,1,0
"19090","Architecture and Related Services","2008-2009","UM",36,2,2,4,10,34,5,3,6,1,5,2
"19091","Area- Ethnic- Cultural- Gender- and Group Studies","2008-2009","UM",25,0,3,4,9,45,3,5,2,14,1,4
"19092","Communication- Journalism- and Related Programs","2008-2009","UM",18,0,5,3,17,97,0,11,3,9,1,5
"19093","Computer and Information Sciences and Support Services","2008-2009","UM",66,13,0,13,4,5,2,0,1,0,3,1
"19094","Education","2008-2009","UM",28,1,0,2,1,76,2,2,1,3,7,5
"19095","Engineering","2008-2009","UM",521,109,27,134,43,169,19,8,26,24,31,10
"19096","Foreign Languages- Literatures- and Linguistics","2008-2009","UM",49,0,3,6,8,102,10,13,0,8,4,7
"19097","English language and literature/letters.","2008-2009","UM",78,2,4,2,25,164,4,7,8,13,8,10
"19098","Liberal arts and sciences- general studies and humanities.","2008-2009","UM",33,2,1,2,2,27,2,1,10,6,3,3
"19099","Biological and Biomedical Sciences","2008-2009","UM",133,5,10,42,41,129,3,4,6,9,5,6
"19100","Mathematics and Statistics","2008-2009","UM",43,16,6,21,6,21,2,3,1,1,4,1
"19101","Multi/Interdisciplinary Studies","2008-2009","UM",59,4,3,17,28,96,2,5,3,10,4,9
"19102","Parks- Recreation- Leisure and Fitness Studies","2008-2009","UM",71,2,0,3,8,74,5,4,6,6,0,2
"19103","Philosophy and Religious Studies","2008-2009","UM",22,0,1,2,1,10,2,1,1,2,1,0
"19104","Physical Sciences","2008-2009","UM",41,1,2,6,0,18,4,1,2,0,5,1
"19105","Psychology","2008-2009","UM",124,8,18,29,75,352,9,29,17,43,11,18
"19106","Public administration and social service professions.","2008-2009","UM",25,0,0,1,4,18,1,1,1,2,0,0
"19107","Social Sciences and History","2008-2009","UM",321,41,32,56,58,280,36,26,27,48,32,19
"19108","Visual and performing arts.","2008-2009","UM",118,1,5,7,17,149,6,10,13,10,11,15
"19109","Health Professions and Related Programs","2008-2009","UM",17,0,0,1,7,193,0,7,1,7,1,15
"19110","Business- Management- Marketing- and Related Support Services","2008-2009","UM",158,8,12,34,32,101,16,5,9,11,7,5
"19111","History","2008-2009","UM",102,0,1,5,7,65,9,3,1,0,4,4
"19112","Natural Resources and Conservation","2008-2009","UNC",18,0,0,0,2,33,1,1,2,1,0,0
"19113","Area- Ethnic- Cultural- Gender- and Group Studies","2008-2009","UNC",36,1,0,8,10,102,6,10,10,20,2,11
"19114","Communication- Journalism- and Related Programs","2008-2009","UNC",137,2,2,5,8,312,6,14,15,34,8,20
"19115","Computer and Information Sciences and Support Services","2008-2009","UNC",28,0,0,4,3,4,0,0,4,4,1,0
"19116","Education","2008-2009","UNC",5,0,0,0,1,88,0,2,1,6,0,1
"19117","Foreign Languages- Literatures- and Linguistics","2008-2009","UNC",26,1,0,0,3,47,0,4,1,5,1,1
"19118","Family and Consumer Sciences/Human Sciences","2008-2009","UNC",2,0,0,0,0,12,0,2,2,0,1,0
"19119","English language and literature/letters.","2008-2009","UNC",60,0,0,1,2,81,2,6,3,10,2,11
"19120","Liberal arts and sciences- general studies and humanities.","2008-2009","UNC",3,0,0,1,0,3,0,0,0,1,0,0
"19121","Biological and Biomedical Sciences","2008-2009","UNC",121,2,5,33,30,145,3,11,5,24,6,6
"19122","Mathematics and Statistics","2008-2009","UNC",31,0,0,2,3,16,0,1,2,2,3,0
"19123","Multi/Interdisciplinary Studies","2008-2009","UNC",21,0,0,0,1,10,0,3,1,1,1,0
"19124","Parks- Recreation- Leisure and Fitness Studies","2008-2009","UNC",59,0,0,0,2,89,1,3,7,23,1,2
"19125","Philosophy and Religious Studies","2008-2009","UNC",30,0,0,1,0,18,1,0,2,2,3,1
"19126","Physical Sciences","2008-2009","UNC",71,3,1,19,11,45,2,1,2,3,5,5
"19127","Psychology","2008-2009","UNC",78,2,2,6,13,160,5,14,9,47,4,13
"19128","Public administration and social service professions.","2008-2009","UNC",14,0,0,0,4,33,0,3,0,9,0,0
"19129","Social Sciences and History","2008-2009","UNC",250,7,8,13,20,160,17,12,27,50,16,9
"19130","Visual and performing arts.","2008-2009","UNC",21,0,0,1,2,67,2,8,0,5,3,3
"19131","Health Professions and Related Programs","2008-2009","UNC",44,1,2,5,19,228,4,11,7,34,4,11
"19132","Business- Management- Marketing- and Related Support Services","2008-2009","UNC",165,6,2,23,16,128,10,6,15,14,10,6
"19133","History","2008-2009","UNC",82,0,0,4,3,54,6,1,5,4,2,2
"19134","Natural Resources and Conservation","2008-2009","UOFM",7,1,0,0,0,6,0,2,0,0,0,3
"19135","Architecture and Related Services","2008-2009","UOFM",20,6,5,3,1,14,9,10,0,3,0,1
"19136","Area- Ethnic- Cultural- Gender- and Group Studies","2008-2009","UOFM",0,0,0,0,0,1,0,1,0,1,0,0
"19137","Communication- Journalism- and Related Programs","2008-2009","UOFM",40,3,10,2,4,89,8,48,0,18,11,17
"19138","Computer and Information Sciences and Support Services","2008-2009","UOFM",9,1,0,0,0,1,5,1,6,0,0,0
"19139","Education","2008-2009","UOFM",0,0,1,1,0,20,3,16,0,3,0,1
"19140","Engineering","2008-2009","UOFM",47,13,0,3,4,16,26,13,6,2,8,8
"19141","Foreign Languages- Literatures- and Linguistics","2008-2009","UOFM",1,0,0,0,0,5,0,2,0,0,1,1
"19142","Legal professions and studies.","2008-2009","UOFM",9,0,0,0,0,5,2,5,2,2,3,1
"19143","English language and literature/letters.","2008-2009","UOFM",13,0,1,0,1,15,5,17,0,4,4,7
"19144","Liberal arts and sciences- general studies and humanities.","2008-2009","UOFM",3,0,0,1,0,3,3,12,9,5,0,0
"19145","Biological and Biomedical Sciences","2008-2009","UOFM",45,4,4,15,34,40,34,40,10,17,21,22
"19146","Mathematics and Statistics","2008-2009","UOFM",1,1,0,1,1,2,1,2,0,0,0,1
"19147","Multi/Interdisciplinary Studies","2008-2009","UOFM",10,0,0,6,3,9,3,6,0,0,2,2
"19148","Parks- Recreation- Leisure and Fitness Studies","2008-2009","UOFM",20,1,1,0,1,10,2,0,5,5,7,3
"19149","Philosophy and Religious Studies","2008-2009","UOFM",6,0,1,1,0,6,2,3,0,0,2,1
"19150","Physical Sciences","2008-2009","UOFM",12,0,3,2,2,15,2,1,1,1,1,2
"19151","Psychology","2008-2009","UOFM",15,1,5,1,5,68,6,40,2,13,9,12
"19152","Social Sciences and History","2008-2009","UOFM",57,4,8,5,3,52,23,32,3,12,8,15
"19153","Visual and performing arts.","2008-2009","UOFM",87,4,4,5,4,66,18,24,6,6,3,10
"19154","Health Professions and Related Programs","2008-2009","UOFM",8,0,4,0,9,56,20,44,2,24,4,12
"19155","Business- Management- Marketing- and Related Support Services","2008-2009","UOFM",190,29,23,15,7,117,57,57,16,12,30,20
"19156","History","2008-2009","UOFM",10,0,0,0,2,6,2,5,0,0,1,1
"19157","Natural Resources and Conservation","2008-2009","USC",3,0,0,1,2,3,2,1,0,0,0,0
"19158","Architecture and Related Services","2008-2009","USC",24,4,2,17,12,26,8,6,1,0,1,1
"19159","Area- Ethnic- Cultural- Gender- and Group Studies","2008-2009","USC",2,0,0,1,1,13,2,6,2,6,0,1
"19160","Communication- Journalism- and Related Programs","2008-2009","USC",44,3,15,14,57,160,11,34,4,15,4,10
"19161","Communications Technologies/Technicians and Support Services","2008-2009","USC",0,0,0,0,0,0,0,0,0,0,0,0
"19162","Computer and Information Sciences and Support Services","2008-2009","USC",16,4,1,7,0,3,0,2,2,0,0,0
"19163","Education","2008-2009","USC",0,0,0,1,1,3,1,3,0,0,0,0
"19164","Engineering","2008-2009","USC",128,26,14,70,25,40,30,14,9,4,9,2
"19165","Foreign Languages- Literatures- and Linguistics","2008-2009","USC",9,1,5,4,12,14,3,6,1,2,0,4
"19166","Legal professions and studies.","2008-2009","USC",0,0,0,0,0,0,0,0,0,0,0,0
"19167","English language and literature/letters.","2008-2009","USC",34,1,0,1,15,32,7,6,1,4,3,0
"19168","Liberal arts and sciences- general studies and humanities.","2008-2009","USC",2,0,0,0,0,3,1,0,0,0,3,0
"19169","Biological and Biomedical Sciences","2008-2009","USC",27,2,4,39,49,23,9,4,3,4,0,2
"19170","Mathematics and Statistics","2008-2009","USC",5,3,0,2,1,6,2,1,0,0,0,0
"19171","Multi/Interdisciplinary Studies","2008-2009","USC",15,0,1,9,23,25,3,9,1,8,1,2
"19172","Parks- Recreation- Leisure and Fitness Studies","2008-2009","USC",2,0,0,5,7,14,3,3,0,4,0,0
"19173","Philosophy and Religious Studies","2008-2009","USC",14,2,0,7,4,13,7,4,0,1,3,2
"19174","Physical Sciences","2008-2009","USC",8,1,1,1,3,2,2,0,0,0,0,2
