Date,Season,Details
3/7/2007,2006-2007,"The NBA suspended Lindsey Hunter (Det) for 10 games for violating the NBA's anti-drug policy. Hunter tested positive for phenermine, a banned substance used for weight loss."
3/7/2007,2006-2007,The NBA suspended Kobe Bryant (LAL) for 1 game for striking Marko Jaric (Min) in the face during Tuesday's Min-LAL game.
3/10/2007,2006-2007,The NBA suspended Rasheed Wallace (Det) for 1 game for receiving his 16th technical foul of the season (an automatic suspension).
3/10/2007,2006-2007,Indiana suspended Jamaal Tinsley for 1 game for conduct detrimental to the team.
3/13/2007,2006-2007,"The NBA fined Brevin Knight (Cha) $25,000 for failing to leave the court in a timely manner and verbally abusing the ref following his ejection in Saturday's Cha-Mem games."
3/14/2007,2006-2007,"The NBA fined Andrew Bogut (Mil) $25,000 for making an obscene gesture towards the fans during Monday's Mil-Tor game."
3/15/2007,2006-2007,"The NBA fined Phil Jackson and the LA Lakers $50,000 each for Jackson's comments that the league was on a witch hunt against Kobe Bryant."
3/18/2007,2006-2007,"The NBA fined Boston $30,000 for excessive contact with the family of underclassman Kevin Durant."
3/18/2007,2006-2007,"The NBA fined Charlotte $15,000 for public comments minority owner Michael Jordan made regarding underclassman Kevin Durant."
3/18/2007,2006-2007,"The NBA fined Golden State $15,000 for public comments coach Don Nelson made regarding underclassmen Greg Oden and Kevin Durant."
3/24/2007,2006-2007,"The NBA suspended Rasheed Wallace (Det) for 1 game for receiving his 18th technical foul, an automatic suspension."
4/3/2007,2006-2007,"The NBA fined Isiah Thomas (NY) $50,000 for comments he made about the officiating following Saturday's NY-NO game."
4/9/2007,2006-2007,Atlanta suspended Josh Smith for 2 games for conduct detrimental to the team. Smith shouted at coach Mike Woodson during Sunday's Phi-Atl game.
4/10/2007,2006-2007,"The NBA fined Adam Morrison (Cha) $25,000 for flipping off a fan during Sunday's Mia-Cha game."
4/17/2007,2006-2007,"The NBA suspended ref Joey Crawford indefinitely, including for the rest of the 06-07 regular season and playoffs, for improper conduct and a lack of professionalism and for being a repeat offender. Crawford ejected Tim Duncan (SA) from Sunday's Dal-SA game for simply laughing while he was on the bench."
4/17/2007,2006-2007,"The NBA fined Tim Duncan (SA) $25,000 for inappropriate comments made to Crawford following his ejection during Sunday's Dal-SA game."
4/23/2007,2006-2007,"The NBA fined Kirk Hinrich (Chi) $25,000 for throwing his mouth piece during Saturday's Mia-Chi game."
4/27/2007,2006-2007,"The NBA fined Stephen Jackson (GS) $50,000 for failing to leave the court in a timely manner and verbal abuse of the refs following his ejection in Wednesday's Dal-GS game."
5/3/2007,2006-2007,"The NBA fined Jason Richardson (GS) $35,000 for improper contact with a fan during Tuesday's Dal-GS game."
5/15/2007,2006-2007,The NBA suspended Robert Horry (SA) for 2 games for his forearm shiver on Steve Nash (Pho) late in Monday's SA-Pho game and for striking Raja Bell (Pho) during the confrontation after the incident. Amare Stoudemire (Pho) and Boris Diaw (Pho) were suspended for leaving the bench during the altercation.
5/22/2007,2006-2007,"The NBA fined San Antonio $50,000 for failing to make their players available to the media on Monday. San Antonio had given the players the day off."
7/14/2007,2008-2009,The NBA suspended Ron Artest (Sac) for 7 games for his no contest plea in May to a misdemeanor domestic violence charge.
7/14/2007,2008-2009,The NBA suspended Stephen Jackson (GS) for 7 games for his guilty plea in June to a felony count of criminal recklessness for firing a gun outside a strip club last fall.
8/23/2007,2008-2009,"The NBA fined Seattle co-owner Aubrey McClendon $250,000 for his comments from 2 weeks ago about the new owners' plans to move the team to Oklahoma."
8/31/2007,2008-2009,The NBA suspended James Posey (Bos) for 1 game for his no contest plea regarding a charge of reckless driving.
9/17/2007,2008-2009,The NBA reinstated suspended referee Joey Crawford. Crawford had been suspended since 4/17/07 for improper conduct and a lack of professionalism and for being a repeat offender following a Dallas-San Antonio game where Crawford ejected Tim Duncan (SA) for simply laughing while Duncan was on the bench.
10/19/2007,2008-2009,The NBA suspended Josh Howard (Dal) for 2 games for throwing a forearm at the back of Brad Miller (Sac) after Miller intentionally shoved Devin Harris (Dal) to the ground during Tuesday's Dal-Sac game.
10/20/2007,2008-2009,Denver suspended J.R. Smith for the first 3 games of the regular season for conduct detrimental to the team.
10/31/2007,2008-2009,"The NBA suspended Lakers owner Jerry Buss for 2 games and fined him $25,000 for his conviction on a misdemeanor drunk driving charge in May."
11/14/2007,2008-2009,"New York fined Stephon Marbury one game's pay (about $182,000) for missing Tuesday's NY-Pho game."
11/26/2007,2008-2009,"The NBA fined Avery Johnson (Dal) $25,000 for failing to leave the court in a timely manner following his ejection in Friday's Dal-Ind game."
12/13/2007,2008-2009,The NBA suspended Al Horford (Atl) for 1 game for his flagrant foul on T.J. Ford (Tor) during Tuesday's Tor-Atl game.
12/14/2007,2008-2009,"The NBA suspended Tyrus Thomas (Chi) for 1 game and fined Troy Murphy (Ind) $10,000 for their fight during Wednesday's Chi-Ind game."
12/15/2007,2008-2009,The NBA suspended Kenyon Martin (Den) for 1 game for his flagrant foul on Melvin Ely (NO) during Wednesday's Den-NO game. Martin's elbow hit Ely in the face and resulted in Ely suffering a fractured left eye socket.
1/1/2008,2008-2009,The NBA suspended Lamar Odom (LAL) for 1 game for his flagrant foul on Ray Allen (Bos) during Sunday's LAL-Bos game.
1/4/2008,2008-2009,The NBA suspended Zach Randolph (NY) for 1 game for throwing his headband at a ref during Wednesday's NY-Sac game.
1/11/2008,2008-2009,"In a rarity, the NBA upheld Miami's protest of the December 19 game at Atlanta. Atlanta led 114-111 with 51.9 seconds left in overtime when the scoring table ruled that Shaquille O'Neal (MIA) had collected his 6th foul and, thus, was disqualified when it was actually only O'Neal's 5th foul. Atlanta went on to win the game 117-111. That game is now invalid (with Atlanta losing a win and Miami losing a loss in the current standings) and the game will be replayed starting with 51.9 seconds left and the score 114-111 Atlanta on March 8 prior to the scheduled Miami at Atlanta game (the replay game will occur and then the teams will play a full game). The Hawks were also fined $50,000 for the mistake. It was the first time since December 1982 that the NBA upheld a protest."
1/11/2008,2008-2009,The NBA suspended David Harrison (Ind) for 5 games for violating the league's anti-drug program.
1/11/2008,2008-2009,Chicago suspended Joakim Noah for 1 game for internal disciplinary reasons. Chicago activated Demetris Nicholas and placed Noah on IL.
1/20/2008,2008-2009,The NBA suspended Anthony Johnson (Atl) for 1 game for his flagrant foul on Jose Calderon (Tor) during Friday's Atl-Tor game.
1/22/2008,2008-2009,Atlanta suspended Zaza Pachulia for 1 game for conduct detrimental to the team.
1/29/2008,2008-2009,Memphis suspended Stromile Swift for 1 game for conduct detrimental to the team.
1/30/2008,2008-2009,The NBA suspended Renaldo Balkman (NY) for 1 game for his flagrant foul on Sasha Vujacic (LAL) during Tuesday's NY-LAL game.
2/8/2008,2008-2009,The NBA suspended Sam Cassell (LAC) for 1 game for his flagrant foul on Rajon Rondo (Bos) during Wednesday's LAC-Bos game.
2/29/2008,2008-2009,The NBA suspended Danny Granger (Ind) for 1 game for hitting Andres Nocioni (Chi) in the face during Wednesday's Ind-Chi game.
3/5/2008,2008-2009,The NBA suspended Dirk Nowitzki (Dal) for 1 game for his flagrant foul against Andrei Kirilenko (Uta) during Monday's Dal-Uta game. The flagrant was also upgraded to a level 2.
3/5/2008,2008-2009,Chicago suspended Tyrus Thomas for 2 games after Thomas missed Wednesday's practice.
3/14/2008,2008-2009,The NBA suspended Bruce Bowen (SA) for 1 game for kicking Chris Paul (NO) during Wednesday's SA-NO game.
4/3/2008,2008-2009,The NBA suspended Kenyon Martin (Den) for 1 game for collecting his 5th flagrant foul point of the season (an automatic suspension).
4/16/2008,2008-2009,The NBA suspended Royal Ivey (Mil) for 3 games for punching Aaron Gray (Chi) during Monday's Chi-Mil game. Ivey served the first game for Wednesday's game and the last 2 games will be served for the start of the 08-09 regular season.
4/25/2008,2008-2009,"The NBA fined Maurice Cheeks (Phi) $25,000 for verbally abusing the refs and failing to leave the court in a timely manner following Wednesday's Phi-Det game."
4/28/2008,2008-2009,"The NBA fined Paul Pierce (Bos) $25,000 for making ""menacing gestures"" during Saturday's Bos-Atl game."
4/28/2008,2008-2009,"The NBA fined DeShawn Stevenson (Was) $25,000 for making ""menacing gestures"" during Sunday's Was-Cle game."
5/2/2008,2008-2009,The NBA suspended Darius Songaila (Was) for 1 game for hitting LeBron James (Cle) in the face during Wednesday's Was-Cle game.
5/7/2008,2008-2009,The NBA suspended Marvin Williams (Atl) for 1 game for his flagrant foul on Rajon Rondo (Bos) during Sunday's Bos-Atl game. The suspension will be served for the first game of the 08-09 regular season.
5/29/2008,2008-2009,"The NBA fined Rasheed Wallace (Det) $25,000 for criticizing the refs and using profanity following Wednesday's Det-Bos game."
6/23/2008,2008-2009,Denver suspended Carmelo Anthony for 2 games for his arrest on April 14 for DWI. The suspension will occur at the start of the 08-09 regular season.
7/10/2008,2008-2009,The NBA suspended Brad Miller for 5 games for violating the NBA's anti-drug policy. The suspension will be served at the start of the 08-09 regular season.
7/10/2008,2008-2009,The NBA suspended JamesOn Curry for 1 game for his guilty plea for resisting an officer and public urination. The suspension will be served at the start of the 08-09 regular season.
9/10/2008,2008-2009,"The NBA fined Darrell Arthur (Mem) and Mario Chalmers (Mia) $20,000 each for getting kicked out of the NBA rookie program. The two refused to leave their hotel room during a fire alarm and hotel security entered the room to force them to leave and discovered two women and the smell of marijuana. The two players were kicked out of the program for violating program rules which does not allow the rookies to have visitors. The two denied using marijuana and there was no physical evidence of marijuana recovered from the room."
9/18/2008,2008-2009,"The NBA fined Michael Beasley (Mia) $50,000 for his involvement in the incident with Darrell Arthur (Mem) and Mario Chalmers (Mia) during the Rookie Transition Program. Arthur and Chalmers (who were fined $20,000 previously) refused to leave their hotel room during a fire alarm and hotel security entered the room to force them to leave and discovered two women and the smell of marijuana. Beasley initially denied his involvement in the incident and refused to cooperate with the league investigation."
9/19/2008,2008-2009,"The NBA suspended Darius Miles (Bos) for 10 games for violating the league's anti-drug policy. Miles will serve the suspension at the start of the regular season (or, if he is cut before the regular season, for the next regular season games he is on a roster)."
9/26/2008,2008-2009,"The NBA fined Gilbert Arenas (Was) and the Wizards $15,000 each for Arenas missing media day."
10/11/2008,2008-2009,Golden State suspended Monta Ellis for 30 games for violating his contract. Ellis was involved in a moped accident this summer and suffered a seriously sprained ankle - he then lied to the team about the cause of the injury.
10/14/2008,2008-2009,The NBA suspended Sebastian Telfair (Min) for 3 games for his guilty plea of criminal possession of a weapon. The suspension will start with the beginning of the regular season.
11/13/2008,2008-2009,"The NBA fined Reggie Theus (Sac) $25,000 for his comments about the refs complaining about the free throw discrepancy following Tuesday's Sac-Det game."
11/14/2008,2008-2009,"The NBA suspended Rafer Alston (Hou) and Matt Barnes (Pho) for 2 games each for their altercation during Wednesday' Hou-Pho game. The NBA suspended Steve Nash (Pho) for 1 game for esculating the incident. The NBA fined Shaquille O'Neal (Pho) $35,000 and Tracy McGrady (Hou) $25,000 to their rule in the incident."
11/15/2008,2008-2009,"The NBA fined Kenyon Martin (Den) $20,000 for verbal abuse of a ref and failing to leave the court in a timely manner following his ejected from Thursday's Den-Cle game."
11/17/2008,2008-2009,The NBA suspended Kevin Garnett (Bos) for 1 game for striking Andrew Bogut (Mil) in the face during Saturday's Bos-Mil game. Bogut's foul on Garnett that proceeded the incident was upgraded to a Flagrant Foul level 1.
11/17/2008,2008-2009,"The NBA fined Shaquille O'Neal (Pho) $25,000 for verbally abusing a ref and failing to leave the court in a timely manner following his ejection from Sunday's Pho-Det game."
12/16/2008,2008-2009,"The NBA fined Allen Iverson (Det) $25,000 for making inappropriate comments towards a fan during Saturday's Det-Cha game."
12/28/2008,2008-2009,The NBA suspended Dirk Nowitzki (Dal) for 1 game for hitting Matt Harpring (Uta) in the face during Friday's Dal-Uta game.
12/30/2008,2008-2009,The NBA suspended Ricky Davis (LAC) for 5 games for violating the league's anti-drug policy.
1/3/2009,2008-2009,"The NBA suspended Tyson Chandler (NO) for 1 game for throwing an elbow at Joel Przybilla (Por) during Friday's Por-NO game. Przybilla was fined $7,500 and assessed a flagrant foul for his role in the altercation."
1/16/2009,2008-2009,"The NBA fined Mark Cuban (Dal) $25,000 for improper interactions with J.R. Smith (Den) during Tuesday's Dal-Den game. Cuban (Dallas' owner) was complaining about a thrown elbow by Smith."
2/2/2009,2008-2009,"The NBA fined Kendrick Perkins (Bos) $10,000 for his flagrant foul on Jason Maxiell (Det) during Friday's Bos-Det game."
2/7/2009,2008-2009,"The NBA fined Doc Rivers (Bos) $15,000 for verbally abusing the refs following the Feb. 8 LAL-Bos game."
2/9/2009,2008-2009,The NBA suspended David West (NO) for 1 game for his flagrant foul on Mike Miller (Min) during Sunday's NO-Min game.
2/12/2009,2008-2009,"The NBA fined Mike Brown (Cle) $25,000 for his comments about the officiating following Tuesday's Cle-Ind game."
2/16/2009,2008-2009,Phoenix suspended Jason Richardson for 1 game for his arrest for excessive speeding (55 mph over limit) with an unrestrained 3 year-old in the back seat.
2/18/2009,2008-2009,The NBA suspended Zach Randolph (LAC) for 2 games for hitting Louis Amundson (Pho) in the face during Tuesday's LAC-Pho game.
2/27/2009,2008-2009,"The NBA fined Rasheed Wallace (Det) $25,000 for throwing a towel into the stands following his ejection from Wednesday's Det-NO game."
2/27/2009,2008-2009,Boston suspended Gabe Pruitt for 2 games for his recent arrest for DUI and placed him on IL.
3/3/2009,2008-2009,Denver suspended Carmelo Anthony for 1 game for failing to leave the game during Sunday's Den-Ind game.
3/10/2009,2008-2009,The NBA suspended Lamar Odom (LAL) for 1 game for coming off the bench after Trevor Ariza (LAL) flagrantly fouled Rudy Fernandez (Por) during Monday's LAL-Por game.
3/16/2009,2008-2009,"The NBA suspended Stephen Jackson (GS) for 1 game for receiving his 16th technical foul of the season, an automatic suspension for getting the 16th tech."
3/19/2009,2008-2009,"The NBA fined Doc Rivers (Bos) $25,000 for criticizing a ref following Tuesday's Chi-Bos game. The NBA also fined ref Bill Kennedy an undisclosed amount for his interaction with Rivers just prior to Rivers being ejected."
3/24/2009,2008-2009,"The NBA fined Linas Kleiza (Den) $25,000 for verbal abuse of the refs after Friday's Was-Den game."
3/25/2009,2008-2009,The NBA suspended Nene (Den) for 2 game for head butting Louis Amundson (Pho) and making contact with a ref as he was ejected during Monday's Den-Pho game.
3/29/2009,2008-2009,The NBA suspended James Posey (NO) for 1 game for throwing the ball at a ref during Friday's NY-NO game.
3/29/2009,2008-2009,"The NBA fined Mark Cuban (Dal owner) $25,000 for publicly criticizing the refs following Friday's Den-Dal game."
4/6/2009,2008-2009,The LA Clippers suspended Zach Randolph for 2 games for his arrest on Sunday for DWI.
4/14/2009,2008-2009,The NBA suspended Ray Allen (Bos) for 1 game for elbowing Anderson Varejao (Cle) in the groin during Sunday's Bos-Cle game.
4/28/2009,2008-2009,"The NBA fined Rick Adelman (Hou) $25,000 for his comments about the officiating between Games 3 and 4. Houston was also fined $25,000."
4/28/2009,2008-2009,"The NBA fined Nate McMillan (Por) $25,000 for his comments about the officiating between Games 4 and 5. Portland was also fined $25,000."
4/28/2009,2008-2009,"The NBA fined Doc Rivers (Bos) $25,000 for his comments about the officiating between Games 4 and 5. Boston was also fined $25,000."
4/29/2009,2008-2009,The NBA suspended Dwight Howard (Orl) for 1 game for throwing an elbow at Samuel Dalembert (Phi) during Tuesday's Phi-Orl game.
5/4/2009,2008-2009,"The NBA fined Kenyon Martin (Den) $25,000 and assessed him a flagrant foul for his shove on Dirk Nowitzki (Dal) during Saturday's Dal-Den game."
5/7/2009,2008-2009,The NBA suspended Derek Fisher (LAL) for 1 game for intentionally throwing his shoulder into Luis Scola (Hou) during Wednesday's Hou-LAL game.
5/7/2009,2008-2009,The NBA suspended Rafer Alston (Orl) for 1 game for slapping Eddie House (Bos) on the head during Wednesday's Orl-Bos game.
5/7/2009,2008-2009,The NBA assessed a flagrant foul (level 1) to Kobe Bryant (LAL) for throwing an elbow at Ron Artest (Hou) during Wednesday's Hou-LAL game.
5/26/2009,2008-2009,"The NBA fined Phil Jackson (LAL) $25,000 for publicly criticizing the refs after Monday's LAL-Den game. The Lakers were also fined a matching $25,000."
5/26/2009,2008-2009,The NBA assessed Dahntay Jones (Den) a flagrant foul for his trip of Kobe Bryant (LAL) during Monday's LAL-Den game.
6/4/2009,2008-2009,"The NBA fined LeBron James (Cle) $25,000 for skipping the postgame press conference following Saturday's Cle-Orl game."
6/13/2009,2008-2009,"The NBA fined Phil Jackson (LAL) $25,000 for criticizing the refs during Thursday's Game 4 LAL-Orl game. The Lakers were also fined a matching $25,000."
8/3/2009,2009-2010,"The NBA fined Cleveland, Houston, and Minnesota an undisclosed amount for releasing details of their 09-10 schedule before the league's official announcement of the 09-10 schedules."
8/6/2009,2009-2010,"The NBA suspended Rashard Lewis (Orl) for 10 games for violating the league's anti-drug program for testing positive for an elevated testosterone level. Lewis said he had used a powered supplement mixed into smoothies and was unaware that it would cause a violation, but accepted the punishment and apologized."
8/28/2009,2009-2010,The NBA suspended J.R. Smith (Den) for 7 games for his guilty plea this summer for reckless driving from a 2007 car accident that results in the death of a passenger in the car.
8/28/2009,2009-2010,The NBA suspended Jason Richardson (Pho) for 2 games for his guilty plea this summer for a DUI arrest in December.
9/15/2009,2009-2010,"The NBA fined Stephen Jackson (GS) $25,000 for publically asking to be traded."
10/8/2009,2009-2010,The NBA suspended Jamaal Magloire (Mia) for 2 games for starting a fight and striking Jonas Jerebko (Det) in the face during Monday's Mia-Det game. Jerebko was suspended for 1 game for retaliating and hitting Magloire in the face. The suspensions will be served at the start of the regular season (or first regular season game that either is on a NBA roster if they are cut before the season starts).
10/10/2009,2009-2010,The NBA suspended Austin Daye (Det) and Carlos Delfino (Mil) for 1 game for their altercation during Wednesday's Det-Mil game. The suspensions will occur at the start of the regular season.
10/10/2009,2009-2010,Golden State suspended Stephen Jackson for 2 games (preseason) for conduct determental to the team. Jackson got in an argument with the coach and then (unknown if by his own accord or by coach's order) left the bench for the locker room during Friday's GS-LAL game.
10/13/2009,2009-2010,"The NBA fined Gilbert Arenas (Was) $25,000 for failing to make himself available to the media for interviews and Washington was fined a matching $25,000 for failing to ensure that its players comply with NBA media interview rules."
10/14/2009,2009-2010,"The NBA fined Larry Brown (Cha) $35,000 for verbally abusing the refs and failing to leave the court in a timely manner following his ejection in Monday's Cha-Atl game and fined him $25,000 for publicly criticizing the refs following the game. The NBA also fined Charlotte $60,000 for Brown's actions."
10/14/2009,2009-2010,"The NBA fined Lionel Hollins (Mem) $25,000 for publicly criticizing the refs following Monday's Mem-Orl game."
10/16/2009,2009-2010,"The NBA fined Stan Van Gundy (Orl) $35,000 for publicly criticizing the refs and fined Orlando a matching $35,000."
11/1/2009,2009-2010,"The NBA fined Al Harrington (NY) $25,000 for publicly criticizing the refs following Friday's Phi-NY game."
11/10/2009,2009-2010,"The NBA fined Dwight Howard (Orl) $15,000 for publically criticizing the refs on his blog."
11/28/2009,2009-2010,"The NBA fined Matt Barnes (Orl) $20,000 for throwing the ball into the stands after Wednesday's Mia-Orl game."
11/29/2009,2009-2010,"The NBA fined Rasheed Wallace (Bos) $30,000 for public criticizing the refs following Friday's Bos-Tor game."
11/29/2009,2009-2010,"The NBA fined Amare Stoudemire (Pho) $7,500 for posting messages on Twitter during Wednesday's Pho-Mem game."
11/29/2009,2009-2010,"The NBA fined Tyson Chandler (Cha) $7,500 for postings message on Twitter during Wednesday's Cha-Tor game."
12/4/2009,2009-2010,The NBA suspended Scott Skiles (Mil coach) for 1 game for his actions towards a ref during Wednesday's Mil-Was game.
12/7/2009,2009-2010,"The NBA fined Joakim Noah (Chi) $15,000 for throwing the ball into the stands and striking a photographer during saturday's Chi-Tor game."
12/14/2009,2009-2010,The NBA suspended Trevor Ariza (Hou) for 1 game for swinging his elbow at DeMar deRozan (Tor) during Sunday's Hou-Tor game.
12/18/2009,2009-2010,"The NBA fined Brandon Jennings (Mil) $7,500 for posting to his twitter account following Saturday's Mil-Por game."
12/28/2009,2009-2010,"The NBA fined Nate Robinson (NY) $25,000 for his agent publically requesting a trade."
1/6/2010,2009-2010,The NBA suspended Gilbert Arenas (Was) indefinitely. The league is investigating Arenas having guns in the locker room.
1/8/2010,2009-2010,"Washington fined Randy Foye, Andray Blatche, JaVale McGee, and Nick Young $10,000 each for joining Gilbert Arenas while he made fun of his gun related problems by using his fingers as guns during the pregame huddle prior to Tuesday's Was-Phi game."
1/12/2010,2009-2010,"The NBA fined 2 unnamed teams $10,000 each for not enforcing the rule that does not allow players along the bench to stand for long periods of time."
1/12/2010,2009-2010,Washington suspended Andray Blatche for 1 game for complaining about not getting enough plays called for him.
1/13/2010,2009-2010,"The NBA fined Doc Rivers (Bos) $25,000 for his conduct after his ejection during Monday's Bos-Atl game."
1/20/2010,2009-2010,"The NBA fined Rasheed Wallace (Bos) $35,000 for his comments regarding the refs following Monday's Dal-Bos game."
1/21/2010,2009-2010,"The NBA fined Glen Davis (Bos) $25,000 for making inappropriate comments to a fan during Wednesday's Bos-Det game."
1/26/2010,2009-2010,"The NBA fined Kenyon Martin (Den) $35,000 for his actions surrounding his ejection during Monday's Cha-Den game."
1/27/2010,2009-2010,"The NBA announced that Gilbert Arenas (Was) is suspended without pay for the rest of the 09-10 season and that Javaris Crittenton (Was) is suspended without pay for the rest of the season. The two players had an argument that resulted in both players bringing guns in to the team locker room, a violation of the collective bargaining agreement. In a Washington, D.C. court, Crittenton had previously pleaded guilty to a misdemeanor count of possession of an unregistered gun and was sentenced to 1 year probation and fined $1,250. Arenas had previously pleaded guilty to a felony count of carrying a gun without a license and sentencing is scheduled for March 26."
1/28/2010,2009-2010,"The NBA fined LeBron James (Cle) $25,000 for kicking a water bottle during Wednesday's Min-Cle game."
2/6/2010,2009-2010,Chicago suspended Tyrus Thomas for 1 game for conduct detrimental to the team.
2/26/2010,2009-2010,"The NBA fined Andrew Bynum (LAL) $25,000 for publically criticizing the refs following Wednesday's Dal-LAL game in saying that it felt like the Lakers were playing 5-on-8."
2/28/2010,2009-2010,Minnesota suspended Al Jefferson for 2 games for his arrest Sunday morning for DWI.
3/1/2010,2009-2010,Indiana suspended Solomon Jones for 1 game for conduct detrimental to the team.
3/5/2010,2009-2010,Miami suspended Rafer Alston indefinitely. The team says that Alston has made himself unavailable for contact with the team other than text messages.
3/9/2010,2009-2010,"The NBA suspended Danny Granger (Ind) and Channing Frye (Pho) for 1 game for their altercation during Saturday's Ind-Pho game. Earl Watson (Ind) was fined $30,000 for instigating and escalating the fight. Roy Hibbert (Ind) and Jason Richardson (Pho) were fined $25,000 for adding to the escalation of the fight."
3/10/2010,2009-2010,The NBA suspended Ryan Hollins (Min) for 2 games for punching DeShawn Stevenson (Dal) and hitting Dirk Nowitzki (Dal) in the head (separate incidents) during Monday's Dal-Min game.
3/12/2010,2009-2010,Miami suspended Dorell Wright for 2 games for his DUI arrest on Thursday.
3/12/2010,2009-2010,Miami announced that Rafer Alston's suspension is for the rest of the season. Alston had been suspended indefinitely on March 6 for not contacting the team.
3/13/2010,2009-2010,The NBA suspended Kirk Hinrich (Chi) for 1 game for making contact with a ref during Friday's Chi-Mia game.
3/13/2010,2009-2010,"The NBA fined Alvin Gentry (Pho) $25,000 for improper conduct toward a ref and failing to leave the court in a timely manner following his ejection from Friday's Pho-LAL game."
3/27/2010,2009-2010,"The NBA fined Caron Butler (Dal) $25,000 for inappropriate language direct at fans during Thursday's Dal-Por game."
4/2/2010,2009-2010,"The NBA fined Kevin Garnett (Min) $25,000 for criticizing the refs and using inappropriate language after Wednesday's Bos-OKC game."
4/5/2010,2009-2010,"The NBA fined Phil Jackson (LAL) $35,000 for publically criticizing the refs after Sunday's LAL-SA game."
4/15/2010,2009-2010,"The NBA fined Phil Jackson $35,000 for comments he made about the refs regarding their calling of Kevin Durant's (OKC) game."
4/18/2010,2009-2010,"The NBA suspended Kevin Garnett (Bos) for 1 game for throwing an elbow at Quentin Richardson (Mia) during Saturday's Mia-Bos game. Richardson was fined $25,000 for instigating the altercation."
4/22/2010,2009-2010,"The NBA fined Rasheed Wallace (Bos) $35,000 for criticizing the refs on Monday (no game)."
4/22/2010,2009-2010,"The NBA fined Stan Van Gundy (Orl) and Matt Barnes (Orl) $35,000 each for criticizing the refs following Wednesday's Orl-Cha game."
4/26/2010,2009-2010,"The NBA fined Erick Dampier (Dal) $35,000 for his comments about the officiating after Friday's Dal-SA game."
4/28/2010,2009-2010,"The NBA fined Dwight Howard (Orl) $35,000 for criticizing the refs on his blog on Tuesday."
5/6/2010,2009-2010,"The NBA fined Danny Ainge (Bos GM) $25,000 for tossing a towel trying to distract J.J. Hickson (Cle) while he was shooting a free throw during Monday's Bos-Cle game."
5/20/2010,2009-2010,The NBA suspended ref Joe DeRosa for 1 game for throwing the ball at a fan during halftime of Tuesday's Bos-Orl game.
5/22/2010,2009-2010,"The NBA fined Dallas owner Mark Cuban $100,000 for public comments he made regarding soon to be (but not officially until July 1) free agent LeBron James, which violated the league's anti-tampering rules."
5/22/2010,2009-2010,"The NBA fined Phoenix president Steve Kerr $10,000 for public comments he made about LeBron James, which violated the league's anti-tampering rules."
5/27/2010,2009-2010,"The NBA fined Atlanta owner Michael Gearon $25,000 for public comments he made regarding LeBron James (Cle) and other upcoming free agents, which violated the league's anti-tampering rules."
5/28/2010,2009-2010,The LA Lakers fined Ron Artest for being late to practice.
7/12/2010,2010-2011,"The NBA fined Cleveland $100,000 for owner Dan Gilbert's remarks about LeBron James signing with Miami."
7/23/2010,2010-2011,"The NBA fined Minnesota GM David Kahn $50,000 and fined the team a matching $50,000 for Kahn's comments on the radio stating that Michael Beasley smoked too much marijuana while with Miami."
8/19/2010,2010-2011,"The NBA fined Rudy Fernandez (Por) $25,000 for public comments detrimental to the NBA. Fernandez's agent said that Fernandez did not want to return to Portland and wanted to play in Europe."
8/20/2010,2010-2011,"The NBA suspended Delonte West for 10 games for his guilty plea for weapons charges. West pleaded guilty on 7/15 to carring 2 loaded handguns and a loaded shotgun while speeding and was sentenced to 8 months of electronic monitoring, 2 years of probation, 40 hours of community service, and counseling. The suspension will occur for the first 10 regular season games of the season."
8/27/2010,2010-2011,The NBA suspended Brandon Rush (Ind) for 5 games for violating the league's anti-drug policy. The suspension will be served at the start of the regular season.
8/27/2010,2010-2011,The NBA suspended Kenny Hasbrouck (Mia) for 2 games for his guilty plea for driving while intoxicated. The suspension will be served at the start of the regular season.
8/27/2010,2010-2011,"The NBA suspended Tyreke Evans (Sac) for 1 game for pleading no contest to reckless driving. The suspension will be served at the start of the regular season. Evans pleaded no contest on 8/2 for speeding between 120 to 130 mph and was sentenced to 80 hours of community service, ordered to take part in teen driving programs, and had his license suspended for 30 days."
9/29/2010,2010-2011,"The NBA fined Washington owner Ted Leonsis $100,000 for unauthorized public comments regarding the collective bargaining negotiations. Leonsis said that he expects the next CBA to have a hard cap."
10/11/2010,2010-2011,"The NBA fined Rudy Fernandez (Por) $50,000 for public comments his agent made that the league said were detrimental to the NBA. Fernandez agent again stated Fernandez's desire to be released."
10/13/2010,2010-2011,Washington fined Gilbert Arenas an undisclosed amount for faking an injury to keep from playing in Tuesday's Was-Atl game. Arenas told the press after the game that he faked the injury so that teammate Nick Young would have a chance to start.
10/14/2010,2010-2011,The NBA suspended Joey Dorsey (Tor) for 1 game for swinging his arm at the head of Brian Scalabrine (Chi) during Tuesday's Tor-Chi game. The suspension will occur at the beginning of the regular season.
10/29/2010,2010-2011,The NBA suspended Jason Williams (Orl) for grabbing the ref on the arm following Williams' ejection during Thursday's Orl-Was game.
11/6/2010,2010-2011,"The NBA fined Stephen Jackson (Cha) $50,000 for verbally abusing a ref after Friday's Cha-Det game."
11/24/2010,2010-2011,The NBA suspended Elton Brand (Phi) for 1 game for the flagrant foul he committed on JaVale McGee (Was) during Tuesday's Was-Phi game.
11/26/2010,2010-2011,Dallas suspended Brandan Haywood for 1 game for violating team rules.
